ticker,count,score
GME,1350,328963
AMC,377,114959
PLTR,97,1563
ITM,79,25848
RKT,76,3516
TSLA,36,1412
WWE,31,6418
AAPL,26,255
NIO,24,93
SNDL,18,172
TDA,16,27
APHA,16,99
TLRY,16,111
IBKR,13,2647
PSLV,12,141
NOK,11,6844
SOS,10,14
SLV,10,65
JNJ,9,130
MARA,9,21
CFO,9,2966
QQQ,8,62
EOD,8,5648
FB,7,80
NKLA,7,96
WKHS,7,11
FSR,7,15
NVDA,6,211
CCIV,6,4
UVXY,6,25
FUBO,6,830
AMZN,6,11
ATH,6,30
EPS,6,88
CRSR,5,10
KOSS,5,6
SKYW,5,9
SCU,5,9
RAD,5,86
RTX,5,228
OCGN,5,18
SENS,5,29
XOM,5,1412
BABA,4,26
TSM,4,29
PSA,4,3
GF,4,5
AMCX,4,10
BIDU,4,116
MVIS,4,22
SPCE,4,202
SUMO,3,5
DNN,3,12
ARKF,3,28
VXX,3,7
MCD,3,6
GMED,3,787
GLD,3,8
CBOE,3,1035
PYPL,3,103
SIPC,3,5
IQ,3,5763
DQ,3,50
IRL,3,26
BNTX,3,41
OI,3,43
PBR,3,16
CPAC,3,38
CTRM,3,3
ARKK,3,41
HCMC,3,14
OSTK,2,2
MSTR,2,2
WOOF,2,3
XLNX,2,97
PRPL,2,12
VIXY,2,4
ARKG,2,9
MSOS,2,6
GCP,2,17
VGAC,2,3
LUV,2,4
UAL,2,121
UWMC,2,13
MSFT,2,19
FUTU,2,2
SCHW,2,7
FSD,2,8
CHWY,2,55
TWTR,2,108
CRON,2,38
VTI,2,14
FCEL,2,8
CLF,2,20
BAH,2,3
BBQ,2,15
STPK,2,4
DCF,2,3
LMND,2,62
DDS,2,100
BMO,2,13
THC,2,85
INTC,2,2
NNDM,2,5
LEAP,2,3
ABNB,2,9
WWII,2,3
BFLY,2,6
IG,2,12
DOCU,2,129
GAYMF,2,26
PSTH,2,5
SQQQ,2,-8
BNGO,2,2
MGNI,2,2
EPD,2,108
LMT,2,2
XPEV,2,108
TFSA,2,10
HES,2,17
PUBM,1,1
QS,1,1
RNWK,1,1
IDRA,1,0
XLE,1,18
XRT,1,1
CBX,1,1
PBA,1,2
DAL,1,1
BRO,1,1
CLOV,1,1
FPH,1,1
ABB,1,1
ANF,1,0
CSR,1,5
UBS,1,1
NCLH,1,3
BOIL,1,1
TW,1,1
DPZ,1,30
GTT,1,1
MAAX,1,483
UUUU,1,1
CPI,1,7
HAIL,1,55
VIAC,1,1
PLAT,1,0
NAK,1,0
SFTW,1,-3
CRMD,1,1
DRIP,1,1
CEVA,1,-5
PRTS,1,1
LAZR,1,1
FANG,1,4
LUCKY,1,505
MSBC,1,1
DIGI,1,0
CEOS,1,1
THCX,1,4
IRDM,1,1
KHRNF,1,1
QCOM,1,-5
HUYA,1,1
IFF,1,2
DAR,1,1
ALPP,1,1
MSM,1,11
UBER,1,4
NSAV,1,0
AEZS,1,1
NEPT,1,4
GUT,1,2
NPV,1,-5
CRNC,1,-5
WAT,1,4
SNE,1,4
VLDR,1,1
DTE,1,1
GHVI,1,8
EET,1,3
TLC,1,24
RIOT,1,10
MGC,1,1
RLY,1,1
GILD,1,8
VALE,1,3
LTNC,1,1
KERN,1,1
TSE,1,1
NWPN,1,1
PDD,1,3
CELH,1,1
FDX,1,9
CLVS,1,1
HAL,1,1
ROTH,1,10
XT,1,1
RCL,1,3
VV,1,9
AYRO,1,2
BAM,1,17
SOXL,1,1
DTF,1,1
WIL,1,1
ISBC,1,5
ACMR,1,1
GOEV,1,1
CDC,1,4
WBS,1,1
GAEC,1,-5
OXY,1,3
CCL,1,3
OEF,1,206
RYCEY,1,4
SDC,1,1
TBF,1,1
BBKCF,1,2
CRNT,1,2
PBI,1,1
CVX,1,812
KLIC,1,1
ETSY,1,13
LODE,1,1
ARKW,1,13
LKCO,1,2
DDD,1,1
GEVO,1,1
AHAC,1,0
DBA,1,1
TMF,1,2
IGC,1,2
CRWD,1,-5
AMBA,1,3
COKE,1,2
FNF,1,1
VYGVF,1,1
BWXT,1,1
FNMA,1,1
WF,1,3
PPLT,1,1
CGC,1,37
CBD,1,23
KGC,1,2
AEM,1,3
BMY,1,8
UAMY,1,0
CRSP,1,1
KOPN,1,2
VIXM,1,2
CLSK,1,2
IWM,1,10
ROKU,1,1
DHT,1,2
FSLY,1,107
MOAT,1,31
AZN,1,1
SIRC,1,0
LAC,1,5
SRNE,1,1
ICLN,1,7
SPXU,1,1
BEP,1,1
WEN,1,1
ACB,1,1
NVR,1,2
FRX,1,3
TRIT,1,2
SCKT,1,1
TLT,1,287
FRFR,1,2
TGT,1,1
PTON,1,1
EXPR,1,4
MLLLF,1,1
SVAC,1,1
JBL,1,0
UMC,1,3
RETO,1,1
FDS,1,6521
CAGR,1,1
GLV,1,1
JDST,1,1
MGCLF,1,1
ADP,1,1
GMBL,1,1
AAL,1,3
DAX,1,483
ESG,1,107
GSL,1,1
EXPI,1,4
PALL,1,1
JBLU,1,3
RHI,1,1
FLGT,1,13
ATWT,1,5
